Description	WM793_SKIN	WM88_SKIN	WM983B_SKIN	YKG1_CENTRAL_NERVOUS_SYSTEM	ZR751_BREAST	ZR7530_BREAST
AAA1	4.058726999999999	4.090261	4.021056	3.8556209999999997	4.408515	4.0404349999999996
ABP1	3.4473550000000004	3.80666	4.305904	3.543575	3.6250430000000002	3.713574
ACBD6	8.854449	9.686247	7.714332000000001	8.795396	9.219957	9.05931
ACPL2	10.83938	9.604358	9.482460000000001	10.387369999999999	8.225417	9.200847
ADAM1	6.132707	5.921752	5.821437	5.106819000000001	7.283453	5.470159
ADAM5P	3.884332	4.659483	4.001638	3.648818	4.079733	3.935157
ADC	5.301197	5.440007	5.7241089999999994	5.4343449999999995	4.770651	5.740692
AGPHD1	5.248122	7.872402	7.258541999999999	5.991751	7.648099	6.8355570000000005
AGXT2L1	3.591614	3.9472660000000004	3.6758940000000004	3.4674449999999997	3.655447	3.7293019999999997
AGXT2L2	5.521587	5.472434	5.530155000000001	6.366401000000001	7.349469	6.656346000000001
AKD1	4.2884139999999995	4.536919999999999	4.616444	4.504652	4.996771	6.234691000000001
ALS2CR8	4.46685	4.875521	4.695473000000001	6.329713	5.038601	4.5968279999999995
ANKRD5	4.7266699999999995	4.600162	4.82857	5.399630999999999	5.470393	5.232381
ANP32A-IT1	4.220636	5.180482	4.533409	4.008888	4.552980000000001	5.4259379999999995
AOC4	3.772215	3.860148	3.984255	3.679738	3.9813690000000004	4.279456
ARMCX5-GPRASP2	6.861122	6.617655	6.063295	6.820125	7.427258999999999	6.443636
ARPM1	5.494937	5.094424	4.727286	4.104675	5.070618	4.869944
ASAP1-IT1	8.478606	7.250435	7.945517	6.979239	7.401403	8.780097
ZNF642	5.497683	6.7533330000000005	6.465022	5.607012	4.884419	5.242073
ZNF643	5.10481	5.773962	5.184315	5.917999	4.181941999999999	5.1430940000000005
ZNF673	8.723543	9.132385000000001	7.947792999999999	8.710602	8.415677	7.251142999999999
ZNF767	6.208295	5.931	6.393344	6.521248	6.858383	6.142563
ZNFX1-AS1	12.43705	11.66634	12.410169999999999	11.24986	13.274479999999999	12.01927
